"temp","defects"
246.9,1
246.9,1
246.9,0
246.9,1
246.9,0
246.9,0
246.9,1
246.9,0
246.9,0
246.9,0
226.76,1
226.76,0
226.76,0
226.76,0
226.76,0
226.76,0
226.76,1
226.76,0
226.76,1
226.76,0
268.48,1
268.48,0
268.48,1
268.48,0
268.48,1
268.48,0
268.48,0
268.48,0
268.48,1
268.48,1
259.12,1
259.12,1
259.12,0
259.12,0
259.12,0
259.12,0
259.12,0
259.12,0
259.12,1
259.12,1
219.67,0
219.67,0
219.67,1
219.67,0
219.67,0
219.67,0
219.67,0
219.67,0
219.67,1
219.67,0
215.02,0
215.02,0
215.02,0
215.02,0
215.02,0
215.02,0
215.02,0
215.02,0
215.02,1
215.02,0
259.16,0
259.16,1
259.16,0
259.16,0
259.16,0
259.16,1
259.16,0
259.16,1
259.16,1
259.16,1
279.36,1
279.36,0
279.36,1
279.36,1
279.36,1
279.36,1
279.36,1
279.36,1
279.36,1
279.36,0
234.66,0
234.66,1
234.66,0
234.66,0
234.66,0
234.66,1
234.66,1
234.66,0
234.66,0
234.66,0
282.39,0
282.39,1
282.39,1
282.39,0
282.39,1
282.39,1
282.39,1
282.39,0
282.39,1
282.39,1
201.78,0
201.78,0
201.78,0
201.78,0
201.78,0
201.78,0
201.78,0
201.78,0
201.78,0
201.78,0
269.45,1
269.45,0
269.45,1
269.45,0
269.45,1
269.45,0
269.45,1
269.45,1
269.45,0
269.45,1
218.01,0
218.01,0
218.01,1
218.01,0
218.01,0
218.01,0
218.01,0
218.01,0
218.01,0
218.01,1
264.77,1
264.77,0
264.77,1
264.77,0
264.77,1
264.77,1
264.77,1
264.77,1
264.77,1
264.77,1
251.96,1
251.96,1
251.96,1
251.96,0
251.96,0
251.96,1
251.96,0
251.96,1
251.96,1
251.96,1
205.12,0
205.12,0
205.12,0
205.12,0
205.12,0
205.12,0
205.12,0
205.12,0
205.12,0
205.12,0
207.28,0
207.28,0
207.28,0
207.28,0
207.28,0
207.28,0
207.28,0
207.28,0
207.28,0
207.28,1
238.19,0
238.19,0
238.19,1
238.19,0
238.19,0
238.19,1
238.19,0
238.19,1
238.19,0
238.19,1
297.22,1
297.22,1
297.22,0
297.22,1
297.22,1
297.22,1
297.22,1
297.22,1
297.22,1
297.22,1
209.53,1
209.53,0
209.53,0
209.53,0
209.53,0
209.53,0
209.53,0
209.53,1
209.53,0
209.53,0
219.03,0
219.03,0
219.03,0
219.03,0
219.03,0
219.03,0
219.03,0
219.03,0
219.03,0
219.03,0
269.02,1
269.02,1
269.02,1
269.02,1
